""	"HCC3_BaP_C0_093_S93"	"HCC3_BaP_C0_094_S94"	"HCC3_BaP_C5_053_S53"	"HCC3_BaP_C5_054_S54"	"HCC3_CISP_C0_281_S281"	"HCC3_CISP_C0_282_S282"	"HCC3_CISP_C5_241_S241"	"HCC3_CISP_C5_242_S242"
"PEBP1_17926"	11866	12218	5405	3806	16679	10842	6804	5192
"TNFAIP3_17927"	40	49	79	68	130	115	412	204
"ARHGAP9_17932"	0	0	0	4	0	0	5	5
"E2F8_17938"	32	32	386	228	137	88	671	359
"PDCD6IP_17968"	6281	5696	3437	1859	11482	8760	5375	3388
"PPARA_17989"	59	66	30	33	89	36	79	41
"GTF2H2B_18022"	80	47	84	25	101	56	112	47
"SLC22A7_18103"	70	88	4	0	118	62	0	1
"PRSS8_18105"	0	0	0	0	2	0	2	0
"SESN2_18106"	15	33	79	45	42	21	200	77
"NLRX1_18112"	5	4	2	3	0	10	8	10
"NDUFB3_18124"	1395	1306	716	563	1771	1373	1985	1507
"PPP2R1A_18156"	72	83	68	52	210	132	286	155
"HIST1H2BD_18171"	2002	1882	2654	1790	2196	1797	3568	1896
"VIM_18185"	14	5	5	1	19	26	17	17
"AEN_18198"	29	49	72	58	151	89	301	180
"CYP11B2_18255"	0	0	2	0	0	3	4	4
"TMEM14B_18304"	133	144	122	122	277	251	190	133
"GDF15_18329"	564	516	17860	13750	2876	2880	36691	18851
"DLX5_18350"	17	7	10	10	15	10	28	7
"CXCL3_18386"	0	0	0	0	18	3	0	0
"ASF1A_18396"	885	737	467	411	802	646	756	521
"KCNG1_18417"	0	0	0	1	0	2	0	0
"NOTCH2_18421"	191	97	179	117	190	119	342	184
"EPHX2_18456"	149	127	19	9	175	99	26	36
"APEX1_18459"	523	358	354	226	681	483	639	370
"AGR3_18494"	0	0	2	0	3	0	0	0
"PPP1CB_18519"	3461	3251	1830	1161	5320	4693	3317	2449
"SDPR_18531"	8	22	61	43	49	19	392	228
"DHFR_18547"	78	44	133	118	134	189	416	323
"DDC_18548"	1545	1717	274	74	2115	1230	151	177
"DTL_18569"	52	30	409	311	166	177	489	387
"SEC62_18636"	61	58	29	44	59	93	146	66
"TLR1_18640"	2	1	0	0	10	0	3	0
"PEG10_18691"	15387	15255	4636	3100	11924	7969	3887	2644
"XIAP_18704"	6	7	3	1	10	2	28	3
"CALCOCO1_18741"	279	217	134	98	699	473	514	330
"DLL4_18742"	0	1	6	0	0	4	0	1
"NEFH_18808"	0	0	2	4	3	5	2	0
"NDUFV3_18809"	173	129	113	86	227	140	218	116
"CD14_18823"	53	37	45	18	69	36	75	43
"PITPNA_18835"	1821	1692	782	427	4715	3238	1117	653
"PHLDA3_18856"	25	18	28	23	91	85	156	105
"TIMP3_18875"	1	4	0	1	13	0	17	10
"IRX5_18883"	0	0	0	0	0	3	0	0
"MRPL40_18891"	58	58	47	33	123	106	72	79
"PRL_18926"	0	0	0	0	0	2	0	0
"EMP1_18941"	114	105	422	341	291	255	577	293
"DPY30_18946"	558	534	453	349	571	422	876	603
"LY96_18964"	0	0	0	0	0	0	4	6
"BCL2L13_18967"	206	155	74	59	220	159	142	101
"DNAJB9_18970"	140	180	140	91	172	96	221	129
"CKS2_19000"	1381	1034	2492	2130	3061	3271	6522	4757
"NOS1_19006"	2	3	0	0	4	0	0	0
"COX8A_19058"	348	413	341	248	887	727	1283	917
"OAZ1_19069"	12103	11184	9317	7499	23784	19582	12735	9565
"PLK3_19099"	1	0	22	4	0	20	58	19
"APOC1_19115"	4450	4637	201	157	12130	10186	1583	2033
"GTF2H2C_19129"	4328	4033	3858	2259	6341	4821	4524	3219
"CR1L_19139"	0	1	0	0	7	3	2	0
"LUZP6_19140"	44	42	33	45	87	34	86	52
"FKBP5_19156"	3325	3066	759	433	4620	3688	1386	864
"HIST1H3C_19157"	143	153	269	323	852	971	649	819
"EFCAB14_19164"	208	163	147	111	282	243	148	127
"RAB6C_19175"	109	77	105	108	315	268	210	100
"PLGLB2_19207"	26	8	4	2	35	5	2	4
"DRD2_19254"	0	0	2	5	14	6	4	2
"CDC7_19277"	14	13	52	39	20	6	109	72
"UBE2K_19279"	1714	1535	1364	997	2357	1905	2183	1401
"TNFSF13B_19280"	1	2	0	1	2	11	6	3
"SLC22A1_19293"	72	84	0	2	79	49	0	0
"ACTL6A_19294"	367	341	532	434	609	408	871	563
"CDCA3_19307"	63	50	95	77	282	312	230	149
"THBD_19323"	0	0	0	0	1	1	0	0
"ZNF114_19347"	10	3	18	1	25	11	18	38
"LDLR_19353"	150	182	72	32	445	274	194	101
"GUSB_19359"	473	417	506	357	537	427	1003	657
"HBG2_19361"	0	0	1	0	0	4	3	2
"TAGLN_19364"	35	27	88	44	117	84	182	116
"ARHGAP45_19382"	0	0	0	0	5	4	2	2
"ANXA8L1_19389"	24371	21100	17176	11849	65596	49109	27852	20671
"RACGAP1_19398"	127	124	210	211	422	434	344	228
"KRT15_19413"	40	27	87	73	34	24	324	145
"KRT4_19414"	15	4	0	0	29	37	4	6
"B3GALT6_19453"	275	281	208	94	932	780	393	200
"IL36B_19480"	0	0	0	0	2	0	0	0
"CD48_19507"	0	0	0	0	0	0	0	0
"MSH2_19521"	17	7	29	13	31	29	65	37
"NOP58_19568"	1229	1176	1087	772	1366	966	1424	967
"KRT18_19582"	2105	1972	1423	900	2992	1758	2665	1975
"SLC27A1_19587"	40	29	16	8	61	33	56	37
"BIN2_19602"	0	0	0	0	6	0	1	0
"SLC10A1_19648"	237	241	0	0	325	208	4	6
"HIST1H2BL_19649"	301	167	455	446	1036	1058	760	876
"CTCF_19656"	14	25	20	7	22	9	32	17
"SLC39A10_19660"	43	46	36	11	80	48	62	54
"GGT1_19717"	0	1	0	0	5	5	1	1
"OSCAR_19748"	5	5	6	9	20	19	16	12
"AMIGO2_19750"	162	107	502	379	350	382	277	263
"ATP11C_19755"	775	684	277	184	1346	1234	308	202
"PPP1CC_19813"	2676	2574	2873	1931	3501	2702	4967	2938
"AREG_19834"	24	27	375	382	86	62	1676	1002
"HLA-DQB1_19840"	0	0	3	1	0	3	22	35
"STAR_19847"	0	0	3	0	5	1	0	0
"IFI44L_19848"	0	0	4	0	9	2	9	3
"SRM_19860"	138	139	142	122	383	342	272	203
"SLC17A6_19889"	1	0	0	0	0	0	3	6
"OIP5_19896"	96	56	219	234	159	130	553	341
"GLUL_19900"	3218	3113	1281	990	4885	3666	4020	2338
"AKR1B10_19908"	3609	3688	1256	654	8465	5509	5953	4202
"ADORA2A_19917"	3	0	0	0	0	0	0	0
"PBK_19921"	165	90	318	276	427	411	875	712
"CCL3L3_19923"	0	0	0	0	0	3	0	0
"CD74_19947"	3	1	1	0	4	3	2	5
"CPSF4L_20003"	5	0	0	0	3	0	0	0
"RET_20047"	0	0	0	2	0	0	0	0
"PFKP_20061"	86	51	129	93	89	107	352	166
"CAV1_20077"	7546	6742	2052	1744	17659	14306	7756	5833
"COL1A2_20081"	0	0	0	1	3	0	1	1
"SRXN1_20094"	133	110	76	69	185	151	123	53
"COMT_20113"	412	434	384	326	1078	834	998	688
"NID2_20114"	0	0	0	0	0	0	0	0
"ADH1B_20117"	2259	2391	56	41	1699	1246	96	90
"STEAP4_20124"	6	0	0	0	4	9	8	1
"SLC51B_20132"	4	4	0	0	0	1	40	10
"GIMAP8_20139"	7	16	14	11	33	11	53	36
"TNNI1_20151"	0	0	0	0	4	1	0	0
"DOCK2_20159"	0	0	0	0	4	12	5	2
"HCAR3_20175"	0	0	4	0	1	0	0	2
"MCL1_20177"	2404	1927	3532	2567	3151	2323	3938	2288
"IRF8_20223"	1	0	9	2	7	11	25	27
"FCRL3_20260"	1	0	0	2	0	5	0	1
"ATRAID_20268"	6080	5864	4109	3138	10859	9950	7125	5563
"FIG4_20285"	183	191	102	90	295	215	151	112
"STEAP1_20305"	628	489	581	384	1131	941	735	596
"CIDEC_20342"	2198	2077	170	124	5009	3210	673	404
"IFNGR1_20346"	22	10	25	16	17	12	15	8
"GBF1_20353"	39	54	47	27	54	46	25	22
"HSPA1L_20369"	0	0	2	4	3	0	4	2
"NAIP_20391"	10	10	14	5	16	11	4	9
"C1QC_20395"	0	0	2	0	3	0	0	0
"KLRK1_20413"	3	3	4	2	9	6	11	6
"DBF4_20417"	446	298	963	748	671	650	1480	885
"EIF3K_20430"	1312	1376	505	303	1751	1285	1139	694
"FLRT2_20435"	131	110	92	72	241	177	191	95
"ZC3H12D_20475"	1	0	0	0	3	0	0	2
"IRS1_20491"	87	93	41	19	133	146	57	20
"XKR4_20510"	0	0	0	0	0	0	0	0
"PGLYRP1_20523"	0	0	0	0	0	0	0	0
"P2RY13_20532"	0	0	0	5	3	0	0	0
"EMX2_20535"	1	0	0	0	6	5	0	0
"ALPP_20550"	19	17	10	6	17	26	38	34
"RPLP0_20556"	8198	7645	7060	5829	19908	16862	11155	8906
"NEK2_20563"	160	108	327	236	294	242	1170	679
"NOL11_20572"	156	118	162	107	120	110	278	153
"CHAC2_20593"	246	200	299	198	304	317	494	306
"C5AR1_20605"	0	0	0	0	7	0	2	1
"C1S_20607"	38891	37322	8801	4095	69412	47525	9987	7543
"KLF5_20609"	212	219	392	244	316	227	705	455
"KLHL24_20638"	53	34	27	14	65	46	65	24
"EPSTI1_20642"	7	11	0	0	18	8	4	11
"CYP3A4_20661"	4958	4595	12	2	1510	711	20	3
"C1orf162_20673"	0	3	27	2	8	1	12	11
"ACADVL_20681"	1849	1684	1939	1154	4486	3253	4228	2790
"SLBP_20689"	72	94	197	112	108	64	320	145
"SELP_20690"	0	0	3	0	3	0	0	0
"GAGE2A_20694"	1406	1318	1561	1246	2523	1993	2412	1540
"SEPW1_20696"	437	382	650	594	1366	1623	873	637
"CEP55_20707"	143	92	343	285	247	190	848	540
"MRPL36_20712"	3602	3454	1997	1283	7221	6041	3924	3144
"ACOX1_20713"	197	246	205	124	308	188	426	226
"CRISP3_20727"	15	10	18	14	25	24	11	8
"PDGFB_20737"	3	4	1	5	23	10	31	34
"SH2D1A_20738"	1	1	0	1	2	2	0	3
"MT3_20763"	0	0	0	0	0	0	0	2
"NOTCH3_20764"	0	3	0	0	1	7	4	3
"ECSCR_20772"	0	1	4	0	9	7	12	20
"NR2F1_20784"	88	86	88	25	187	168	116	55
"MPI_20807"	0	0	1	0	8	2	0	0
"LMOD1_20824"	0	0	0	0	0	0	0	0
"HIST1H2AK_20840"	2072	2055	3057	2386	5345	5791	4262	3846
"HIST1H2AC_20846"	2372	2056	2196	1842	6144	5535	4291	3375
"GIMAP1-GIMAP5_20869"	0	0	4	3	2	0	2	2
"NR0B1_20873"	0	0	0	0	0	0	0	0
"ITPR1_20884"	44	29	5	3	62	35	6	8
"CHST11_20899"	24	35	4	6	28	57	9	2
"SLC25A5_20900"	2735	2578	2404	1678	3058	2471	5532	2422
"RAB25_20913"	0	0	0	0	0	0	0	1
"FUT4_20944"	14	17	21	4	47	41	46	35
"GIMAP6_20946"	0	2	0	0	1	0	0	0
"MDH2_20964"	2945	3070	1397	916	6796	5486	3189	2151
"LCN2_21000"	23	7	20	6	23	11	62	56
"SOCS1_21005"	0	0	0	0	0	0	1	0
"ABCB11_21010"	4	6	4	0	19	4	0	1
"FASLG_21013"	0	0	2	0	6	0	1	0
"CLDN7_21042"	33	38	0	6	113	109	38	30
"ATAD5_21054"	0	5	12	14	3	12	52	25
"ELTD1_21057"	0	0	0	0	0	3	0	0
"CD37_21072"	0	0	0	0	0	0	0	0
"CDT1_21099"	59	49	179	159	283	245	546	300
"GSR_21104"	2474	2451	1358	847	2839	2124	1884	1088
"FKBP1A_21107"	7	5	13	2	17	15	26	20
"BMP6_21117"	0	0	0	0	0	0	0	0
"ANGPTL2_21137"	0	0	0	0	0	0	1	0
"TRIAP1_21159"	106	75	137	117	227	153	410	282
"IL1R1_21162"	639	672	230	108	700	636	469	287
"NDRG1_21187"	467	581	706	465	5139	6961	3007	1614
"FOLH1_21200"	0	0	2	8	15	10	0	2
"CLK2_21215"	705	686	792	440	1536	1044	893	614
"CCL24_21223"	0	0	1	0	1	1	3	3
"CCL22_21224"	0	0	0	0	0	0	0	0
"XCL1_21226"	0	0	0	0	5	0	0	0
"VCAM1_21232"	5	5	0	0	6	3	0	0
"HSPA6_21239"	7	31	17	10	16	10	39	4
"INHBA_21251"	2	2	3	2	1	3	12	13
"INHA_21252"	0	3	5	0	2	0	0	4
"DSP_21266"	742	625	789	470	1374	1153	2891	1452
"S100A2_21300"	1167	641	4099	4401	5754	6428	23946	16697
"TYMS_21327"	3958	3292	16820	9244	14448	13477	23581	16706
"SELL_21329"	2	0	4	0	1	5	3	2
"MTR_21332"	3	2	9	3	7	11	18	13
"LCK_21336"	0	0	0	0	1	0	2	0
"EPN3_21339"	0	1	0	0	0	0	2	0
"SYTL2_21368"	4	4	6	1	36	20	34	31
"SEPT10_21372"	605	555	730	473	616	602	1088	609
"RPL35_21373"	3967	3604	3423	2986	16410	14070	9887	9356
"UGT2B7_21389"	1349	1345	273	130	1638	1200	1462	866
"SELE_21396"	4	0	0	0	1	0	0	0
"SLC5A5_21398"	0	0	0	0	5	0	0	0
"PTGER4_21423"	0	2	0	0	0	3	10	9
"EREG_21427"	7	6	84	67	2	20	176	103
"CDC16_21464"	1006	982	808	403	1579	1312	1018	719
"CANX_21472"	97	88	87	100	170	99	308	184
"HIST1H2BA_21483"	0	0	0	0	3	3	0	0
"EXOG_21490"	468	448	674	382	683	563	732	452
"SRSF9_21528"	3451	2984	3023	2134	3409	2748	4329	2672
"ELOVL3_21555"	0	0	0	0	9	2	0	0
"AMY1A_21570"	14	14	7	7	22	10	18	0
"CXCL9_21587"	0	3	0	0	0	0	0	0
"ACP1_21590"	220	181	148	106	315	258	274	196
"TNFRSF17_21646"	0	1	0	0	0	0	0	0
"BCL2L1_21647"	5540	4853	6235	3833	12744	9767	8567	5862
"GXYLT1_21652"	23	18	19	13	35	22	70	27
"F3_21670"	1232	1061	1199	857	1940	2101	783	548
"MAP1LC3A_21677"	1911	2028	1634	1166	3107	2551	2831	1474
"EXOSC8_21683"	207	149	399	273	264	217	556	394
"TFF1_21691"	0	0	0	0	6	0	0	2
"GIMAP7_21696"	3	4	0	1	6	6	0	0
"ZAP70_21701"	0	0	0	0	4	6	2	0
"OSGIN1_21718"	0	0	2	5	8	0	6	3
"TRIM22_21719"	204	157	406	264	462	315	1034	589
"LEPROTL1_21732"	149	100	95	105	147	87	206	106
"KARS_21742"	8	9	11	10	21	13	21	12
"SULF1_21749"	4	7	0	0	17	14	0	0
"HELLS_21751"	19	13	105	58	70	44	200	111
"IFNB1_21758"	0	0	0	0	1	0	4	3
"SPCS2_21762"	2	4	2	12	26	12	26	17
"NEUROD1_21767"	0	0	0	0	4	0	0	0
"GINS3_21786"	65	54	270	213	248	181	764	533
"FABP4_21799"	107	144	27	35	407	234	188	149
"AP2B1_21852"	1	5	5	3	10	17	36	17
"HCLS1_21855"	1	1	0	0	7	3	7	0
"B3GNT2_21862"	0	0	0	0	5	0	5	0
"DEFA1B_21887"	0	0	0	0	31	0	0	0
"ICE1_21898"	39	31	34	23	34	19	99	41
"SCNN1G_21899"	3	0	4	0	8	0	4	2
"CA7_21913"	0	0	0	0	2	0	10	0
"AASDHPPT_21936"	117	123	124	91	177	104	247	165
"PDE4C_21948"	0	0	0	0	0	0	0	0
"PLIN2_21957"	1210	1249	633	466	2579	2945	1788	1197
"SLC7A7_21997"	38	38	7	8	94	39	51	16
"ATAD2_22038"	25	25	94	49	52	55	128	90
"IFI30_22048"	530	549	774	544	768	457	2095	1042
"CMSS1_22063"	235	235	103	91	312	210	106	109
"BRMS1L_22068"	920	774	715	458	1898	1460	1247	1127
"MNDA_22104"	0	0	0	4	0	0	0	0
"SEPT1_22117"	0	0	0	0	0	0	0	0
"SAA1_22122"	832	816	164	114	868	413	362	178
"MYH11_22129"	0	0	1	0	0	0	2	0
"SLC4A1_22136"	0	0	0	0	0	0	0	0
"KIF13A_22151"	225	179	38	30	288	261	105	87
"BBS10_22175"	57	74	49	31	93	97	122	67
"FOXA1_22204"	38	47	32	19	172	61	118	59
"GRB14_22206"	326	333	159	66	677	485	100	91
"TFAM_22228"	84	84	131	131	102	58	271	151
"NR5A1_22265"	1	1	0	0	3	0	0	0
"TMBIM6_22300"	1629	1423	1387	1055	1553	1158	1411	808
"LIMS4_22317"	12	14	13	3	33	27	25	12
"MRVI1_22320"	0	2	0	0	3	0	0	0
"FAM72A_22322"	218	158	525	372	657	595	1942	1247
"CCT6A_22369"	11108	9627	11834	8577	16042	12571	13127	8613
"H1F0_22378"	24	47	67	44	89	26	320	229
"KHDRBS3_22399"	2	0	4	3	13	5	12	15
"NOS2_22429"	0	0	0	0	1	0	0	0
"CYP2C19_22478"	58	41	64	83	205	255	83	104
"ZNF587_22500"	281	337	379	210	527	347	451	285
"MYBL1_22509"	112	91	864	451	457	455	1479	852
"ZFAND1_22534"	240	211	196	194	240	246	326	210
"FGL2_22561"	0	0	0	0	2	0	1	0
"ACADM_22566"	176	162	95	51	173	116	123	69
"GAGE2D_22568"	7552	7471	7547	5966	15035	12785	12034	8675
"SLC22A8_22577"	0	0	0	0	4	2	0	0
"SMIM15_22626"	105	85	142	101	104	58	431	188
"CSRNP1_22653"	343	241	623	356	615	614	735	402
"CAMK2B_22665"	2	0	2	0	3	1	2	0
"ADCY1_22677"	0	0	0	0	1	0	0	0
"ECI1_22689"	13869	14963	4165	2574	31762	21627	4941	3824
"ABCA6_22690"	26	30	7	2	51	29	18	20
"ACAT1_22692"	294	377	177	123	373	235	394	222
"IL1A_22714"	0	0	0	0	3	0	1	0
"PRKDC_22715"	35	37	42	14	88	51	140	53
"FCGR3B_22716"	0	0	0	3	0	0	0	0
"KAT2B_22724"	149	148	82	44	126	204	197	82
"SLC22A6_22726"	0	0	0	0	0	0	0	0
"PLXDC2_22745"	2684	2467	304	127	7119	4260	162	181
"TPI1_22768"	368	358	342	235	920	791	794	555
"PTGS1_22773"	0	0	4	1	4	4	5	6
"TM7SF3_22780"	188	155	316	191	339	238	790	510
"CYP4A22_22794"	43	45	0	0	124	81	6	4
"DDX60_22807"	157	163	44	47	414	282	83	70
"GEMIN5_22827"	1853	1784	980	566	2776	1992	922	707
"SOD2_22842"	19	7	0	6	11	11	8	9
"NEIL3_22846"	20	16	45	32	44	37	100	51
"GCLC_22866"	839	849	229	169	877	758	344	173
"TAP1_22946"	35	12	100	40	49	40	299	152
"HNF1A_22954"	114	122	19	5	467	269	92	54
"IL18_22992"	216	183	89	50	402	315	666	392
"CHRNB2_23007"	0	1	4	1	0	0	2	0
"POR_23019"	240	241	35	27	503	342	92	61
"CYP2W1_23021"	0	0	0	0	0	0	0	0
"ESRP2_23043"	4	0	3	2	4	8	6	0
"ATP6V0E1_23077"	18855	18712	8895	5883	37254	29777	14156	11151
"GABRA2_23101"	0	0	0	0	0	0	0	0
"ATF6B_23130"	25	16	11	14	78	72	76	56
"MAOA_23149"	5419	5084	707	435	9445	6586	1504	1045
"FSTL1_23151"	1686	1546	589	510	2917	2544	671	496
"DBNDD2_23171"	26	15	4	15	152	100	78	53
"GPR18_23181"	0	0	0	0	0	0	0	0
"DMTN_23208"	40	34	39	24	147	91	160	140
"EXTL1_23218"	0	0	0	0	1	0	0	0
"WARS_23223"	52	51	63	28	68	56	94	84
"HBA2_23236"	0	0	1	0	12	0	0	0
"DTX3L_23240"	127	108	100	63	214	129	327	176
"ACADL_23253"	558	613	119	68	730	500	215	148
"SNRPB_23271"	3	5	1	2	13	16	14	11
"ACSL5_23312"	9721	9657	4584	2517	8034	5905	3704	2198
"HK3_23321"	0	0	0	0	8	3	1	0
"CCND2_23334"	4	7	11	6	18	6	22	10
"HAVCR1_23335"	231	196	70	37	619	375	301	127
"PSMB9_23343"	3348	3188	2326	1436	6583	5214	4599	3865
"PSMC1_23344"	29	38	34	15	54	24	124	47
"PSMD3_23346"	37	34	28	18	53	33	151	82
"HOXB2_23347"	0	0	0	0	0	0	2	0
"ABCC3_23353"	36	52	25	16	115	64	19	10
"PSAPL1_23363"	0	0	0	0	3	0	0	0
"MDM2_23384"	1970	1909	4792	2885	4262	3284	9726	6450
"GPR65_23391"	0	0	8	0	0	1	4	0
"NKG7_23420"	0	0	0	0	1	0	0	0
"ZDHHC16_23488"	119	124	121	66	373	343	316	164
"PSEN2_23493"	22	14	13	16	44	17	19	3
"GNLY_23496"	0	0	0	0	0	0	0	0
"FST_23553"	0	0	2	3	0	0	0	0
"NCBP2_23556"	0	0	0	3	11	4	1	3
"OLFML2B_23568"	0	1	1	2	16	8	8	1
"LYZ_23572"	0	0	0	0	0	0	0	0
"GRHL2_23611"	0	0	0	0	0	0	0	0
"SLC25A27_23627"	9	0	7	2	2	4	3	2
"CCT5_23696"	7227	6487	6878	4364	12291	9977	9198	6087
"ESPL1_23715"	5	0	4	6	11	10	22	26
"ENDOG_23724"	47	40	19	22	115	139	35	15
"AHR_23752"	459	381	275	179	525	338	557	207
"SSB_23767"	3913	3648	2977	2058	3988	3144	4908	3400
"PADI4_23775"	0	0	0	4	2	0	33	12
"SEMG2_23799"	0	0	0	0	4	1	2	3
"ZEB2_23804"	134	116	112	92	235	224	123	121
"CYBB_23808"	0	0	0	3	0	0	0	0
"CSF2RB_23809"	0	0	2	2	2	9	3	0
"MAL2_23815"	594	515	414	275	1110	1008	617	446
"TNFRSF10B_23818"	908	946	1654	958	1922	1673	2482	1171
"LAPTM5_23860"	66	54	87	71	63	31	857	460
"FCMR_23874"	0	0	0	0	2	0	0	0
"PAPSS1_23878"	61	78	140	90	102	101	184	104
"HLA-DRB4_23880"	269	272	288	188	526	472	817	520
"SAMD9L_23913"	869	844	494	322	1238	1095	945	596
"S100A12_23915"	8	6	4	6	10	2	1	2
"GAGE3_23922"	12685	12036	14936	11169	28765	25220	30260	20894
"FGG_23945"	4140	4346	904	386	4777	3141	830	783
"FERMT2_23975"	280	239	422	159	583	526	294	228
"COIL_23990"	458	454	483	273	597	491	651	476
"PGR_24005"	0	0	0	0	0	0	0	0
"EVI2B_24023"	12	9	336	295	151	124	1160	777
"XAF1_24041"	52	38	11	18	75	48	72	22
"MPO_24073"	0	0	0	1	0	0	1	0
"IL2RB_24111"	0	0	0	0	4	4	0	0
"HTR6_24114"	2	0	0	0	4	0	0	0
"PPBP_24138"	9	8	13	10	36	35	13	16
"THRB_24158"	233	236	89	44	605	363	117	105
"THBS1_24188"	175	141	120	131	560	487	291	226
"BEX3_24191"	5112	4718	3563	2816	6446	4920	5614	3742
"MT1F_24226"	4	3	9	0	9	4	7	0
"DUSP1_24234"	8510	7607	8426	4823	19415	17854	15437	9897
"WDR12_24240"	47	40	51	23	79	71	93	44
"C1orf112_24242"	75	95	337	210	239	203	632	375
"SNAI2_24257"	4607	3710	3750	2977	6202	5441	5910	4058
"CGN_24274"	1	6	0	0	1	3	5	6
"SLC26A3_24332"	0	0	0	0	0	0	0	1
"SLC26A2_24334"	11	1	2	11	20	26	23	14
"ZNF286B_24372"	0	4	0	4	10	0	1	0
"RNF19B_24383"	191	160	353	227	209	207	606	337
"SLC1A2_24387"	0	2	0	0	6	3	1	1
"NIPSNAP3A_24427"	50	47	38	48	87	59	151	142
"PRKAB2_24437"	15	15	20	15	55	27	84	28
"TMEM126A_24438"	323	287	189	114	339	297	281	296
"GRIK4_24451"	1	0	0	0	0	0	0	0
"PRTN3_24460"	0	0	0	6	6	1	0	2
"IL10RA_24492"	0	0	0	0	0	0	0	0
"CS_24503"	28	25	33	25	39	40	72	32
"CYR61_24505"	92	39	113	99	98	88	247	132
"PROCR_24511"	295	211	660	532	483	366	3028	1704
"SULT2A1_24513"	505	522	58	11	486	228	45	40
"RHO_24554"	1	0	0	0	0	0	4	0
"MUC20_24575"	8	4	5	3	24	18	20	5
"SRSF10_24587"	39	36	71	60	85	54	96	38
"SGPP1_24607"	258	211	237	168	179	155	322	120
"RFPL3_24612"	0	0	0	0	1	0	0	0
"MEX3B_24640"	58	45	194	119	151	105	494	167
"GSTP1_24644"	0	0	1	0	1	0	0	0
"SOD1_24659"	9238	8363	7812	5267	14149	11276	10969	7903
"ACTG2_24661"	0	0	0	0	3	4	0	1
"SRGN_24666"	292	312	379	397	706	560	749	672
"CENPU_24681"	380	353	2539	2089	1288	1189	4703	3378
"GSTA5_24748"	879	875	15	11	656	428	104	84
"THEM4_24773"	72	57	60	38	177	95	80	70
"NAA20_24782"	41	35	23	57	151	102	48	37
"AHSA1_24801"	1506	1328	1193	852	1948	1695	2048	1196
"SNURF_24817"	75	67	41	56	115	35	155	70
"EEF1G_24831"	13	29	25	6	83	47	129	90
"HSD17B8_24850"	258	249	50	51	510	430	136	100
"RIPK1_24853"	210	260	200	148	312	187	466	280
"GDNF_24860"	72	47	268	155	383	219	728	376
"HTR5A_24873"	0	0	0	0	2	0	0	0
"F5_24874"	12	4	4	0	14	11	19	7
"CCL5_24896"	0	0	0	0	0	0	3	3
"RHOH_24904"	0	0	0	0	5	0	4	0
"TSG101_24913"	1467	1513	1205	688	2568	1980	2322	1699
"AK3_24914"	43	37	38	15	72	37	108	48
"CXCL11_24932"	0	0	0	0	0	0	0	2
"RAD51AP1_24940"	10	5	64	32	8	6	219	100
"PLRG1_24969"	30	32	77	32	62	46	110	71
"LILRB2_24971"	0	0	0	0	9	0	0	0
"TP53I3_24981"	573	521	1272	976	1046	790	3950	2237
"LST1_25001"	0	2	2	0	0	4	0	0
"LAMP3_25004"	0	0	3	13	0	0	48	15
"KDM5D_25051"	0	0	0	0	0	0	0	0
"ABCG2_25072"	68	80	48	32	78	50	64	18
"CPA3_25077"	0	0	0	0	1	0	0	3
"NR1H4_25084"	122	105	14	7	203	154	17	39
"CD36_25102"	0	0	0	0	0	0	2	0
"RPS3_25124"	4871	4600	4396	2980	8353	6889	7198	6071
"IGF1_25126"	36	32	8	0	70	49	0	3
"CTSS_25157"	306	305	157	95	549	416	924	399
"GRIN2D_25159"	0	1	0	0	0	2	0	0
"GRIN2B_25161"	0	0	0	0	13	9	0	0
"GRIN2C_25162"	9	8	90	63	97	70	225	193
"GRIN2A_25164"	0	0	0	0	0	0	0	0
"MAPK12_25181"	41	40	40	25	103	92	72	42
"S100A8_25188"	0	1	0	0	12	0	0	1
"S100A9_25189"	1035	1143	944	681	2729	1956	1928	1770
"CYP19A1_25213"	27	25	65	16	66	53	72	51
"FCGR2B_25215"	0	1	0	0	2	2	0	4
"ACE2_25221"	2	0	7	0	5	0	4	2
"G6PD_25228"	14895	13184	7036	5164	26967	20610	6611	4623
"PHF5A_25261"	280	293	287	238	571	466	575	434
"GPR89A_25292"	999	836	758	515	1124	914	846	626
"PPM1D_25317"	69	81	198	140	142	87	534	297
"OAS1_25326"	59	49	17	17	59	55	83	66
"RBM47_25341"	5	3	8	3	26	28	11	7
"SERPINA9_25359"	0	0	0	0	2	0	0	0
"PPCS_25423"	159	162	66	77	202	149	247	147
"PRDX2_25446"	885	585	381	314	1413	789	1184	933
"ADIPOQ_25453"	0	1	0	0	0	2	0	1
"NLRC5_25496"	60	46	31	33	185	86	64	30
"ESR2_25513"	0	0	0	0	0	0	0	0
"ZNF260_25549"	0	4	4	0	4	21	3	1
"BBC3_25556"	92	111	273	161	263	225	795	486
"PRAC1_25557"	0	0	0	0	1	0	0	0
"CDH2_25558"	6446	5732	3019	1708	12598	9786	2888	2431
"BDNF_25560"	35	18	116	75	107	132	365	195
"IFI6_25609"	2995	2959	2706	2479	7239	6709	5284	3792
"CCL15_25622"	186	145	33	15	287	135	187	129
"MS4A6A_25688"	0	0	0	0	0	0	0	0
"PTPRCAP_25730"	1	1	2	0	3	1	2	5
"IL10_25731"	0	0	0	0	0	0	4	0
"NAT1_25741"	158	85	175	113	270	110	376	207
